id,name,state,zipcode,USNewsRank
403,Minnesota-Univ. of   Morris,MN,56267,
404,Stevens Institute of Technology,NJ,07030-,
405,Slippery Rock Univ.,PA,16057-,
406,Nebraska-Univ. of   Omaha,NE,68132-,
407,Metropolitan State Univ. of Denver,CO,80217-,
408,Northwest Nazarene Univ.,ID,83651-,
409,Goshen College,IN,46526,
410,Texas_Univ. of   Brownsville,TX,78520,
411,Texas State Univ. (San Marcos),TX,78666,
412,Abilene Christian Univ.,TX,79699,
413,Elon Univ.,NC,27244-,
414,SUNY Coll. at Potsdam,NY,13676-,
415,Western Kentucky Univ.,KY,42101-,
416,Vermont-Univ. of ,VT,05405-,
417,St. Lawrence Univ. (55),NY,13617-,
418,North Carolina-Univ. of   Greensboro,NC,27402-,
419,South Carolina-Univ. of   Columbia (main campus),SC,29208-,
420,Wittenberg Univ. (114),OH,45501-,
421,Lawrence Univ. (67),WI,54912-,
422,St. Mary's of Texas,TX,78284-,
423,Citadel-The ,SC,29409,
424,Tulsa-Univ. of ,OK,74104,
425,Skidmore College,NY,12866-,
426,John Carroll Univ.,OH,44118-,
427,Millikin Univ.,IL,62522,
428,Simpson College,IA,50125-,
429,William Jewell College,MO,64068-,
430,Cal State Univ.-Stanislaus,CA,95382-,
431,Missouri-Univ. of   St. Louis,MO,63121-,
432,Denver   Univ. of,CO,80208-,
433,Colorado State Univ.-Pueblo,CO,81001-,
434,Alaska-Univ. of   Fairbanks,AK,99775-,
435,Indiana Univ.   South Bend,IN,46615,
436,Winona State Univ.,MN,55987,
437,East Central Univ. (OK),OK,74820,
438,Houston-Univ. of   Clear Lake,TX,77058,
439,Louisiana Tech Univ.,LA,71272-,
440,Francis Marion Univ.,SC,29502,
441,Trinity Univ. (TX),TX,78212,
442,Earlham College,IN,47374-,
443,Arkansas-Univ. of   Pine Bluff,AR,71601-,
444,SEWANEE - The Univ. of the South,TN,37375-,
445,Berry College,GA,30149,
446,Ramapo College of New Jersey,NJ,07430-,
447,Roanoke College,VA,24153-,
448,Pacific Univ.,OR,97116-,
449,SUNY Coll. Buffalo State   Buffalo,NY,14222,
450,Whittier College,CA,90608,
451,St. John Fisher College,NY,14618-,
452,Sciences in Philadelphia-Univ. of the,PA,19104-,
453,Youngstown State Univ.,OH,44555-,
454,South Dakota State Univ.,SD,57007-,
455,Lewis Univ.,IL,60441-,
456,Greenville College,IL,62246-,
457,College of Idaho,ID,83605-,
458,Seattle Pacific Univ.,WA,98119-,
459,Eastern Nazarene College,MA,2170,
460,St. Mary's Univ. of Minnesota,MN,55987,
461,North Central College,IL,60540,
462,Massachusetts College of Liberal Arts,MA,01247-,
